#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
175,W,,,Waidmannslust,,1884-05-20,1925-06-05,,,,,,,1984-01-09,,1986-12-22,,,,Nordbahn,,,Wai,,BWAI,52.60667,13.32094
176,W,Wannensee,,Wannsee,,1874-06-01,1928-06-11,,,,,,,1980-09-18,,1985-02-01,,,,Wetzlarer Bahn,Wannseebahn,,Ws,,BWSS,52.42147,13.17889
177,W,,,Warschauer Straße,,1884-08-11,1928-11-06,,,,,,,,,,,,,Stadtbahn,Schlesischen Bahn,,Wrs,,BWRS,52.50663,13.45007
178,W,,,Wartenberg,,1985-12-20,1985-12-20,,,,,,,,,,,,,Außenring,,,Wtb,,BWAB,52.57339,13.50434
179,W,,,Wedding,,1872-05-01,1929-02-01,,,,,,,1980-09-18,,2002-06-15,,,,Ringbahn,,,Wed,,BWED,52.54273,13.36658
180,W,,,Wernerwerk,,1929-12-18,1929-12-18,,,,,,,1980-09-18,,,,,,Siemensbahn,,,Ww,,,52.53486,13.27615
181,W,Charlottenburg-Westend,,Westend,,1877-11-15,1929-02-01,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Wes,,BWES,52.51856,13.28435
182,W,Putlitzstraße,,Westhafen,,1898-10-01,1929-02-01,,,,,,,1980-09-18,,1999-12-19,,,,Ringbahn,,,Put,,BWH,52.53640,13.34405
183,W,Ausstellung,,Westkreuz (Ringbahn),,1928-12-10,1929-04-18,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Wkr,Wk,BWKRR,52.50102,13.28359
184,W,Ausstellung,,Westkreuz (Stadtbahn),,1928-12-10,1928-12-10,,,,,,,1984-01-09,,1984-05-01,,,,Stadtbahn,,,Wkv,Wk,BWRKV,52.50077,13.28405
185,W,,,Wildau,,1899-06-19,1951-04-30,,,,,,,,,,,,,Görlitzer Bahn,,,Wi,,BWI,52.31923,13.63364
186,W,Neu-Rahnsdorf,,Wilhelmshagen,,1882-11-15,1928-06-11,,,,,,,1945-04-01,,1948-11-02,,,,Schlesischen Bahn,,,Wil,,BWIG,52.43922,13.72122
187,W,Rosenthal,,Wilhelmsruh,,1877-07-10,1925-06-05,,,,,,,1984-01-09,,1984-10-01,,,,Nordbahn,,,Wm,,BWM,52.58165,13.36245
188,W,Dalldorf,,Wittenau (Nordbahn),,1877-07-10,1925-06-05,,,,,,,1984-01-09,,1984-10-01,,,,Nordbahn,,,Win,,BWIN,52.59652,13.33559
189,W,Pankow Nordbahn,,Wollankstraße,,1877-07-10,1925-06-05,,,,,,,1984-01-09,,1984-10-01,,,,Nordbahn,,,Wo,,BWOK,52.56582,13.39111
190,W,,,Wuhletal,,1989-07-01,1989-07-01,,,,,,,,,,,,,Ostbahn,,,Wt,,BWT,52.51279,13.57526
191,W,Sadowa,,Wuhlheide,,1877-01-01,1928-06-11,,,,,,,1945-04-01,,1948-01-05,,,,Schlesischen Bahn,,,Wu,,BWHH,52.46936,13.55334
192,Y,,,Yorckstraße,,1903-05-01,1929-07-02,1903-06-04,,,,,,,,,,,,Dresdener Bahn,,,Yor,,BYOR,52.49183,13.37224
193,Y,Großgörschenstraße,,Yorckstraße (Großgörschenstraße),,1891-10-01,1939-10-09,,,,,,,1980-09-18,,1985-02-01,,,,Nordsüd-S-Bahn,,,Gör,,BGGS,52.49281,13.36819
194,Z,Zehlendorf Mitte,,Zehlendorf,,1838-09-22,1933-05-15,,,,,,,1980-09-18,,1985-02-01,,,,Stammbahn,Wannseebahn,,Zfm,,BZD,52.43118,13.25870
195,Z,,,Zehlendorf Süd,,1972-12-20,1972-12-20,,,,,,,1980-09-18,,,,,,Stammbahn,,,Zfs,,,52.42533,13.23922
196,Z,,,Zepernick,,1881-09-01,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Zep,,BZEP,52.65954,13.53302
197,Z,Hankels Ablage Bude 21,,Zeuthen,,1868-05-24,1951-04-30,,,,,,,,,,,,,Görlitzer Bahn,,,Zn,,BZTH,52.34940,13.62702
198,Z,,,Zoologischer Garten,,1882-02-07,1928-06-11,,,,,,,,,,,,,Stadtbahn,,,Zoo,,BZOS,52.50736,13.33235
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
