#,Letter,Old name1,Old name2,Name,Opened as a service station,Opened,Electrified,Electrified 550 V,Electrified 6000 V,Deelectrified 6000 V,Electrified 15 kV,Officially completed,Closed for S-Bahn trains,Closed,Deelectrified,Reopened,Reopened for S-Bahn trains,Reopened for regional trains,Reelectrified,Bahn1,Bahn2,Bahn3,Abbreviations1 (old),Abbreviations2 (old),Abbreviations,Latitude,Longitude
64,H,Schmargendorf,,Heidelberger Platz,,1883-12-15,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Smf,,BHEI,52.48035,13.31185
65,H,Güterverkehr,,Heiligensee,,1893-10-01,1927-03-16,,,,,,,1984-01-08,,1998-12-15,,,,Kremmener Bahn,,,Hls,,BHLS,52.62493,13.22909
66,H,,,Hennigsdorf,,1893-10-01,1927-03-16,,,,,,1983-09-20,,,,1998-12-15,,,Kremmener Bahn,,,Hnd,,BHD,52.63948,13.20553
67,H,,,Hennigsdorf Nord,,1958-08-25,1958-08-25,,,,,,,1998-05-24,,,,,,Kremmener Bahn,,,Hdnu,Hdn,,52.66030,13.20386
68,H,,,Hermannstraße,,1899-02-01,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,Her,,BHER,52.46752,13.43139
69,H,,,Hermsdorf,,1877-07-10,1925-06-05,,,,,,,1984-01-09,,1984-10-01,,,,Nordbahn,,,Hed,Hf,BHED,52.61861,13.30730
70,H,,,Hirschgarten,,1894-05-01,1928-06-11,,,,,,,1945-04-01,,1948-04-30,,,,Schlesischen Bahn,,,Hir,Hi,BHI,52.45809,13.60263
71,H,,,Hohen Neuendorf,,1877-09-01,1925-06-05,,,,,,,,,,,,,Nordbahn,,,Hon,Hn,BHN,52.66993,13.28697
72,H,,,Hohen Neuendorf West,,1954-08-10,1954-08-10,,,,,,,,,,,,,Außenring,,,How,,BHOW,52.67259,13.27126
73,H,,,Hohenschönhausen,,1984-12-20,1984-12-20,,,,,,,,,,,,,Außenring,,,Hsh,,BHH,52.56652,13.51330
74,H,,,Hohenschöpping,,1938-04-13,1938-04-13,,,,,,1983-09-20,1998-05-24,,,,,,Kremmener Bahn,,,Hch,,,52.66950,13.19501
75,H,,,Hohenzollerndamm,,1910-11-01,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,HoS,Ho,BHO,52.48860,13.30082
76,H,,,Hoppegarten,,1870-05-01,1947-03-07,,,,,,,,,,,,,Ostbahn,,,Hpn,,BHPG,52.51835,13.67398
77,H,,,Humboldthain,,1935-01-31,1935-01-31,,,,,,,1984-01-09,,1984-05-01,,,,Stettiner Bahn,,,Hum,,BHUM,52.54449,13.37872
78,I,,,Innsbrucker Platz,,1933-07-01,1933-07-01,,,,,,,1980-09-18,,1993-12-17,,,,Ringbahn,,,IpS,Ip,BIP,52.47821,13.34207
79,J,,,Jannowitzbrücke,,1882-02-07,1928-06-11,,,,,,,1994-10-17,,1996-10-21,,,,Stadtbahn,,,Jan,,BJB,52.51433,13.41963
80,J,Kolonnenstraße,,Julius-Leber-Brücke,,1881-10-15,1929-04-18,,,,,,,1944-07-03,,2008-05-02,,,,Nordsüd-S-Bahn,,,Kl,,BJLB,52.48611,13.36074
81,J,,,Jungfernheide,,1894-05-01,1929-02-01,,,,,,,1980-09-18,,1997-04-15,,,,Ringbahn,,,Jun,,BJUN,52.53082,13.30053
82,K,Dalldorf (Cremmener Bahn),,Karl-Bonhoeffer-Nervenklinik,,1893-10-01,1927-03-16,,,,,,,1984-01-09,,1995-05-28,,,,Kremmener Bahn,,,Wik,,BKBO,52.57876,13.33284
83,K,,,Karlshorst,,1902-10-01,1928-06-11,,,,,,,1945-04-01,,,1948-01-05,,,Schlesischen Bahn,,,Kh,,BKLH,52.48107,13.52590
84,K,Carow,,Karow,,1882-11-15,1924-08-08,,,,,,,,,,,,,Stettiner Bahn,,,Kar,,BKRW,52.61495,13.46876
85,K,,,Kaulsdorf,,1869-08-25,1928-11-06,,,,,,,,,,,,,Ostbahn,,,Kd,,BKAD,52.51225,13.59064
86,K,,,Kohlhasenbrück,,1946-02-16,1946-02-16,,,,,,,1946-07-07,,,,,,Wetzlarer Bahn,,,Khb,,,52.40036,13.14442
87,K,,,Köllnische Heide,,1920-08-16,1928-11-06,,,,,,,1980-09-18,,1993-12-17,,,,Verbindungsbahn Neukölln - Baumschulenweg,,,Khd,,BKHD,52.46931,13.46717
88,K,,,Königs Wusterhausen,,1866-09-13,1951-04-30,,,,,,,,,,,,,Görlitzer Bahn,,,Kw,,BKWH,52.29684,13.63113
89,K,,,Köpenick,,1842-10-23,1928-06-11,,,,,,,1945-04-01,,,1948-01-05,,,Schlesischen Bahn,,,Kp,,BKPK,52.45887,13.57996
90,L,Leninallee,,Landsberger Allee,,1895-05-01,1929-02-01,,,,,,,,,,,,,Ringbahn,,,Lst,La,BLST,52.52927,13.45495
91,L,"Lankwitz, Victoriastraße",,Lankwitz,,1895-12-01,1929-07-02,1903-06-04,,,,,,1984-01-09,,1995-05-28,,,,Anhalter Bahn,,,Lak,,BLAK,52.43921,13.34244
92,L,,,Lehnitz,,1878-04-10,1925-10-05,,,,,,,,,,,,,Nordbahn,,,Len,,BLEN,52.74155,13.26309
93,L,Lehrter Bahnhof,,Lehrter Stadtbahnhof,,1882-02-07,1928-06-11,,,,,,,2002-06-22,,,,,,Stadtbahn,,,Leh,,,52.52490,13.36949
